# chainfmt afss
#          vida_0                   vida_1                   vida_2                   vida_3                   vida_4                   vida_5                   vida_6                   noise_0                   noise_1                   noise_2                   noise_3                   noise_4                   noise_5
       8.961727169679351     0.001000000000000004       1.1637799746846296   1.1513645229251721e-07  -1.2582477124686216e-07                    100.0   1.0000000000000044e-06                0.0275539                0.0765895                 0.136515                  5.93423                  4.80927                  3.95051
       9.074100072250435    0.0010000000000003784      0.12257228284382506   1.6031444902780638e-08    5.354328224611553e-09        99.99999999999388    1.000000000000086e-06                0.0250135                0.0701406                  0.11783                  7.62395                  8.40602                  1.62731
       9.012942650223485    0.0010000000000008084       2.8488397212282015   -2.317731921421953e-08    8.357188622328256e-09        99.99999999987507   1.0000000000011909e-06                 0.034718                0.0697961                 0.109168                  7.94317                   8.9612                  1.49637
       9.066200143848308    0.0010000000000001065       1.5481595564284811   3.8758813131570885e-08    4.318366844900236e-08        99.99999999998306   1.0000000000001586e-06                0.0260404                0.0685081                 0.110536                  7.87209                   8.8873                  1.19394
       9.075894590122076    0.0010000000000000009      0.15328686138403425   -5.070207038499876e-07  -1.8238921197103955e-08        99.99999999976777   1.0000000000000002e-06                0.0316044                0.0800324                 0.117537                  5.14461                   2.2897                   6.5124
       9.012076340042046     0.001000000000000117       1.6123760856294176   -2.980230096220776e-08   1.1303250149505754e-08        99.99999999998172   1.0000000000001749e-06                0.0033236                0.0739525                  0.13678                  7.02211                  4.32984                  2.21327
       9.023565269603404    0.0010000000000010467        1.213234530753301   -1.661124581043881e-08  -2.1295742070139898e-08        99.99999999983744   1.0000000000015356e-06                0.0606272                 0.073828                 0.102193                  6.95154                  9.39453                  3.82659
       8.950320748517402    0.0010000000000002817       2.6089049736416303    6.073645277183785e-09    2.650386984718914e-08        99.99999999995673    1.000000000000406e-06                0.0241582                0.0690441                 0.123558                  4.59518                  1.95829                  4.59547
       9.067602740207004    0.0010000000000003216       2.3310234146679725   -5.240181014989644e-08    6.211488450803036e-08        99.99999999996473   1.0000000000000713e-06                0.0108876                0.0669081                 0.122083                  4.71534                  1.35259                  2.63292
       9.060362858096877    0.0010000000000001002        1.695336919985173    -6.46279831349683e-08     2.35365086219898e-08        99.99999999998413   1.0000000000001495e-06                0.0284345                0.0791183                 0.113289                  4.18561                 0.965862                  3.91079
       9.088043553458688    0.0010000000000000106       1.7791789300198713   -4.628986765860872e-08  -2.0885940724009697e-08        99.99999999999851   1.0000000000000082e-06                0.0213375                0.0739539                 0.103592                  4.15001                  1.12568                  8.92654
       8.961727181058832    0.0010000000000000167       1.0437235894922927   1.1806097846427186e-08    1.596796358769088e-08        99.99999999999756    1.000000000000024e-06               0.00437889                0.0727496                 0.100823                  8.10691                  8.08749                  1.09231
       9.016655409293335    0.0010000000000001254       2.1918537880328826  -1.4320242291767336e-08   2.6855975168290955e-08        99.99999999998026    1.000000000000185e-06                0.0789645                0.0688159                0.0687313                  3.15449                  1.47623                   3.8431
       9.076575247522682    0.0010000000000000378       1.2561641984348646   -3.864803986499176e-08   -2.774490122012539e-08        99.99999999999399   1.0000000000000565e-06                0.0219489                 0.086743                 0.112839                  7.06851                  4.68727                  3.09543
       9.003021321379633    0.0010000000000000334       1.8897740602909487   -5.151921304106332e-08  -2.3364573674657832e-08         99.9999999996045   1.0000000000001622e-06                0.0519417                0.0812945                 0.103933                  6.76246                  5.85573                  4.06361
       8.978826501797151    0.0010000000000102973       1.4237197897096416   -1.699425194015679e-07    7.819571843177093e-08        99.99999999397603   1.0000000000118627e-06                 0.047583                0.0685323                0.0991463                  4.62622                  1.99348                  7.31662
       9.016552281010727     0.001000000000000007        2.970406846469794   1.3139724247465794e-08    7.392375253154722e-10         99.9999999999989     1.00000000000001e-06                0.0240075                0.0704505                 0.129269                  6.89323                  6.42868                  2.20808
       9.066241396084461    0.0010000000000003216       1.9997790880613548   -9.230372868765102e-10   -9.567867835703146e-09         99.9999999999487   1.0000000000004817e-06                0.0224498                0.0730012                 0.127944                  6.60498                   5.5481                  3.29728
       8.894423073093717     0.001000000000001651       0.7856281789746072   5.2870937831421184e-08  -4.3684322437565884e-08        99.99999999998111   1.0000000000006143e-06                0.0215336                0.0723064                 0.107203                  3.30509                 0.615393                   7.7858
       9.042809746608024    0.0010000000000000417       1.6158858773078877  -1.0178229230179753e-08  -2.0687653716584863e-09        99.99999999999324   1.0000000000000635e-06                0.0238295                0.0683243                 0.123685                  4.23234                  1.69963                  5.08185
